"ABA","ABA 脱落酸"
"acylbromide","acylbromide 酰溴"
"acyl carrier protein","acyl carrier protein 酰基载体蛋白"
"acyl cation","acyl cation 酰（基）正离子"
"acyl chloride","acyl chloride 酰氯"
"acyl CoA","acyl CoA 脂酰辅酶A"
"acyl coenzyem A","acyl coenzyem A 脂酰辅酶A"
"acyl fluoride","acyl fluoride 酰氟"
"acyl halide","acyl halide 酰卤"
"acyloin","acyloin 偶姻"
"acyltransferase","acyltransferase 酰基转移酶"
"adamantanamine","adamantanamine 金刚烷胺[曾用作抗病毒剂]"
"adamantane","adamantane 金刚烷"
"adaptability","adaptability 适应性"
"adaptation","adaptation 适应"
"adapter","adapter 衔接头；衔接子"
"adapter protein","adapter protein 衔接蛋白质"
"adaptin","adaptin 衔接蛋白[衔接网格蛋白与其他蛋白的胞质区]"
"adaptive behavior","adaptive behavior 适应性行为"
"adaptive enzyme","adaptive enzyme 适应酶"
"adaptive molecule","adaptive molecule 衔接分子"
"adaptive response","adaptive response 适应反应[大肠杆菌中的DNA修复系统]"
"adaptor","adaptor 衔接头；衔接子"
"adaxial","adaxial 近轴的"
"addition","addition 加成"
"addition compound","addition compound 加成化合物"
"addition haploid","addition haploid 附加单倍体"
"addition line","addition line 附加系"
"additive","additive 添加物，添加剂"
"additive effect","additive effect 加性效应"
"additive genetic variance","additive genetic variance 加性遗传方差"
"additive recombination","additive recombination 插入重组，加插重组[因DNA插入而引起的基因重组]"
"addressin","addressin 地址素[选择蛋白(selectin)的寡糖配体，与淋巴细胞归巢有关]"
"adducin","adducin 内收蛋白[一种细胞膜骨架蛋白，可与钙调蛋白结合]"
"adduct","adduct 加合物，加成化合物"
"adduct ion","adduct ion 加合离子"
"adenine","adenine 腺嘌呤"
"adenine arabinoside","adenine arabinoside 啊糖腺苷"
"adenine phosphoribosyltransferase","adenine phosphoribosyltransferase 腺嘌呤磷酸核糖转移酶"
"adenoma","adenoma 腺瘤"
"adenosine","adenosine 腺嘌呤核苷，腺苷"
"adenosine deaminase","adenosine deaminase 腺苷脱氨酶"
"adenosine diphoshate","adenosine diphoshate 腺苷二磷酸"
"adenosine monophosphate","adenosine monophosphate 腺苷（一磷）酸"
"adenosine phosphosulfate","adenosine phosphosulfate 腺苷酰硫酸"
"adenosine triphosphatase","adenosine triphosphatase 腺苷三磷酸酶"
"adenosine triphosphate","adenosine triphosphate 腺苷三磷酸"
"adenovirus","adenovirus 腺病毒"
"adenylate","adenylate 腺苷酸；腺苷酸盐、酯、根"
"adenylate cyclase","adenylate cyclase 腺苷酸环化酶"
"adenylate energy charge","adenylate energy charge 腺苷酸能荷"
"adenylate kinase","adenylate kinase 腺苷酸激酶"
"adenylic acid","adenylic acid 腺苷酸"
"adenylylation","adenylylation 腺苷酰化"
"adenylyl cyclase","adenylyl cyclase 腺苷酸环化酶"
"adherence","adherence 粘着，粘附，粘连；贴壁"
"adherent cell","adherent cell 贴壁细胞；粘着（性）细胞，粘附（性）细胞"
"adherent culture","adherent culture 贴壁培养"
"adhering junction","adhering junction 粘着连接"
"adhering junction","adhering junction 粘着连接"
"adhesin","adhesin 粘附素[如见于大肠杆菌]"
"adhesion","adhesion 吸附，结合，粘合；粘着，粘附，粘连"
"adhesion factor","adhesion factor 粘着因子，粘附因子"
"adhesion factor","adhesion factor 粘着因子"
"adhesion molecule","adhesion molecule 粘着分子，粘附分子"
"adhesion plaque","adhesion plaque 粘着斑"
"adhesion plaque","adhesion plaque 粘着斑"
"adhesion protein","adhesion protein 粘着蛋白，吸附蛋白"
"adhesion receptor","adhesion receptor 粘着受体"
"adhesion zone","adhesion zone 粘着带[如见于细菌壁膜之间]"
"adhesive","adhesive 粘合剂，胶粘剂"
"adhesive glycoprotein","adhesive glycoprotein 粘着糖蛋白"
"adipic acid","adipic acid 己二酸，肥酸"
"adipocyte","adipocyte 脂肪细胞"
"adipokinetic hormone","adipokinetic hormone 脂动激素[见于昆虫]"
"adipose tissue","adipose tissue 脂肪组织"
"adjust","adjust [动]调节，调整；修正"
"adjustable","adjustable 可调的"
"adjustable miropipettor","adjustable miropipettor 可调微量移液管"
"adjustable spanner","adjustable spanner 活动扳手"
"adjusted retention time","adjusted retention time 调整保留时间"
"adjusted retention volume","adjusted retention volume 调整保留体积"
"adjuvant","adjuvant 佐剂"
"adjuvant","adjuvant 佐剂"
"adjuvant cytokine","adjuvant cytokine 佐剂细胞因子"
"adjuvanticity","adjuvanticity 佐剂（活）性"
"adjuvant peptide","adjuvant peptide 佐剂肽"
"adoptive immunity","adoptive immunity 过继免疫"
"adoptive transfer","adoptive transfer 过继转移"
"ADP ribosylation","ADP ribosylation ADP核糖基化"
"ADP ribosylation factor","ADP ribosylation factor ADP核糖基化因子"
"ADP ribosyltransferase","ADP ribosyltransferase ADP核糖基转移酶"
"adrenal cortical hormone","adrenal cortical hormone 肾上腺皮质(激)素"
"adrenaline","adrenaline 肾上腺素"
"adrenergic receptor","adrenergic receptor 肾上腺素能受体"
"adrenocepter","adrenocepter 肾上腺素受体"
"adrenocorticotropic hormone","adrenocorticotropic hormone 促肾上腺皮质(激)素"
"adrenodoxin","adrenodoxin 肾上腺皮质铁氧还蛋白"
"adriamycin","adriamycin 阿霉素，亚德里亚霉素"
"adsorbent","adsorbent 吸附剂"
"adsorption","adsorption 吸附"
"adsorption catalysis","adsorption catalysis 吸附催化"
"adsorption center","adsorption center 吸附中心"
"adsorption chromatography","adsorption chromatography 吸附层析"
"adsorption film","adsorption film 吸附膜"
"adsorption isobar","adsorption isobar 吸附等压线"
"adsorption isotherm","adsorption isotherm 吸附等温线"
"adsorption layer","adsorption layer 吸附层"
"adsorption potential","adsorption potential 吸附电势"
"adsorption precipitation","adsorption precipitation 吸附沉淀"
"adsorption quantity","adsorption quantity 吸附量"
"adult diarrhea rotavirus","adult diarrhea rotavirus 成人腹泻轮状病毒"
"advanced glycosylation","advanced glycosylation 高级糖基化"
"advanced glycosylation end product","advanced glycosylation end product 高级糖基化终产物"
"adventitious","adventitious 不定的，无定形的"
"adverse effect","adverse effect 反效果，副作用"
"aecidiospore","aecidiospore 锈孢子，春孢子"
"aeciospore","aeciospore 锈孢子，春孢子"
"aequorin","aequorin 水母蛋白，水母素"
"aeration","aeration 通气"
"aerator","aerator 加气仪，加气装置"
"aerial mycelium","aerial mycelium 气生菌丝体"
"aerobe","aerobe 需氧菌[利用分子氧进行呼吸产能并维持正常生长繁殖的细菌]"
"aerobic","aerobic 需氧的"
"aerobic bacteria","aerobic bacteria 需氧（细）菌"
"aerobic cultivation","aerobic cultivation 需氧培养"
"aerobic glycolysis","aerobic glycolysis 有氧酵解"
"aerobic metabolism","aerobic metabolism 有氧代谢"
"aerobic respiration","aerobic respiration 需氧呼吸"
"aerobic waste treatment","aerobic waste treatment 需氧废物处理"
"aerobiosis","aerobiosis 需氧生活"
"aerogel","aerogel 气凝胶"
"aerogen","aerogen 产气菌"
"aerolysin","aerolysin 气单胞菌溶素"
"Aeromonas","Aeromonas 气单胞菌属"
"aerosol","aerosol 气溶胶"
"aerosol gene delivery","aerosol gene delivery 气溶胶基因送递"
"aerospray ionization","aerospray ionization 气喷射离子化作用"
"aerotaxis","aerotaxis 趋氧性[（细胞）随环境中氧浓度梯度进行定向运动]"
"aerotolerant bacteria","aerotolerant bacteria 耐氧菌[不受氧毒害的厌氧菌]"
"aerotropism","aerotropism 向氧性"
"aesculin","aesculin 七叶苷，七叶灵"
"aetiology","aetiology 病原学"
"afferent nerve","afferent nerve 传入神经"
"affinity","affinity 亲和，亲和性"
"affinity adsorbent","affinity adsorbent 亲和吸附剂"
"affinity chromatography","affinity chromatography 亲和层析"
"affinity coelectrophoresis","affinity coelectrophoresis 亲和共电泳[用于研究DNA结合蛋白]"
"affinity column","affinity column 亲和柱"
"affinity coupling","affinity coupling 亲和偶联"
"affinity electron microscopy","affinity electron microscopy 亲和电镜（术）[用亲和配体包被铜网]"
"affinity extraction","affinity extraction 亲和提取，亲和萃取"
"affinity filtration","affinity filtration 亲和过滤"
"affinity labeling","affinity labeling 亲和标记"
"affinity ligand","affinity ligand 亲和配体"
"affinity maturation","affinity maturation 亲和力成熟[见于体液免疫系统的发育]"
"affinity partitioning","affinity partitioning 亲和分配"
"affinity precipitation","affinity precipitation 亲和沉淀"
"affinity purification","affinity purification 亲和纯化（法）"
"affinity tag","affinity tag （附加）亲和标记物"
"aflatoxin","aflatoxin 黄曲酶毒素"
"A-form DNA","A-form DNA A 型 DNA"
"agar","agar 琼脂"
"agarase","agarase 琼脂糖酶"
"agar diffusion test","agar diffusion test 琼脂扩散试验"
"agarfitine","agarfitine 伞菌氨酸"
"agar gel","agar gel 琼脂胶"
"agaricin","agaricin 蘑菇素"
"agaricinic acid","agaricinic acid 蘑菇酸"
"agaropectin","agaropectin 琼脂胶"
"agarose","agarose 琼脂糖"
"agarose gel","agarose gel 琼脂糖凝胶"
"agarose gel electrophoresis","agarose gel electrophoresis 琼脂糖凝胶电泳"
"agarose plate","agarose plate 琼脂糖平板"
"agar plate","agar plate 琼脂平板"
"agar slant","agar slant 琼脂斜面[固化时斜放的，装有固体培养基的一种试管培养基；也指斜面培养基上生长出的菌苔]"
"agent","agent 剂；介质"
"age pigment","age pigment 老年色素"
"agglutination","agglutination 凝集（作用）"
"agglutinin","agglutinin 凝集素"
"agglutinogen","agglutinogen 凝集原"
"aggrecan","aggrecan 聚集蛋白聚糖[来自软骨]"
"aggregate","aggregate 聚集体；凝聚体"
"aggregation","aggregation 聚集（作用）"
"aggressin","aggressin 攻击素[细菌分泌的一种有助于侵染宿主细胞的化学物质]"
"aggressivity","aggressivity 攻击力"
"aging","aging 衰老，老化，陈化"
"agitation","agitation 振荡，振摇，搅拌"
"agitator","agitator 振荡器，搅拌器"
"aglycone","aglycone 苷元，糖苷配基"
"agonist","agonist 兴奋剂，激动剂，刺激物；竞争剂；拮抗剂"
"agranulocyte","agranulocyte 无粒细胞"
"agravitropism","agravitropism 无向重力性"
"agretope","agretope [抗原]限制位[抗原上识别并结合二类主要组织相容性复合体的部位]"
"agricultural alcohol","agricultural alcohol 农产品（制）酒精"
"agricultural waste","agricultural waste 农业废物，农业垃圾"
"agrin","agrin 集聚蛋白，集聚素[由运动神经分泌并可诱导肌纤维的乙酰胆碱酯酶和乙酰胆碱受体发生聚集]"
"agrobacteriocin","agrobacteriocin 农杆菌素，土壤杆菌素"
"Agrobacterium","Agrobacterium 农杆菌属，土壤杆菌属"
"Agrobacterium rhizogenes","Agrobacterium rhizogenes 毛根农杆菌，毛根土壤杆菌"
"Agrobacterium tumefaciems","Agrobacterium tumefaciems 根癌农杆菌，根瘤土壤杆菌"
"agRochemical","agRochemical 农用化学品[如除草剂，杀虫剂等]"
"agrocin","agrocin 农杆素[由某些农杆菌所产生并作用于另一些农杆菌的抗生素（不是蛋白质）]"
"agrocinopine","agrocinopine 农杆糖酯[一种糖磷酸二酯]"
"agroinfection","agroinfection 农杆菌感染（法）"
"agropine","agropine 农杆氨酸，农杆碱[见于毛根]"
"agropinic acid","agropinic acid 农杆鸟氨酸，鸟氨农杆碱[见于毛根]"
"air bubble","air bubble 气泡"
"air drying","air drying 风干"
"air filter","air filter 空气滤器"
"airflow","airflow 气流"
"airflow meter","airflow meter 气流计"
"airflow moniter","airflow moniter 气流显示器，气流监控仪"
"airlift bioreactor","airlift bioreactor 气升式生物反应器"
"airlift fermentation","airlift fermentation 气升式发酵"
"airlift fermentor","airlift fermentor 气升式发酵罐"
"airlift fermentor","airlift fermentor 气升式发酵罐"
"airlock","airlock 气锁"
"air monitering","air monitering 空气监测"
"air peak","air peak 空气峰，气泡峰"
"air sterilization","air sterilization 空气除菌"
"akaryote","akaryote 无核细胞"
"akaryote","akaryote 无核细胞"
"akinetic chromosome","akinetic chromosome 无着丝粒染色体"
"akinetic chromosome","akinetic chromosome 无着丝粒染色体"
"akinetic fragment","akinetic fragment 无着丝粒断片"
"akinetic inversion","akinetic inversion 无着丝粒倒位"
"alamethicin","alamethicin 丙甲甘肽[来自绿色木酶的一种小肽，富含beta氨基异丁酸]"
"alanine","alanine 丙氨酸"
"alanine aminotransferase","alanine aminotransferase 丙氨酸转氨酶"
"alarm","alarm 警报器，定时钟"
"albinism","albinism 白化病"
"albizziin","albizziin 合欢氨酸，脲基丙氨酸"
"albumin","albumin 白蛋白，清蛋白"
"alcohol","alcohol 醇；乙醇"
"alcohol dehydrogenase","alcohol dehydrogenase 醇脱氢酶；乙醇脱氢酶"
"alcoholic fermentation","alcoholic fermentation 生醇发酵"
"aldehyde","aldehyde 醛；乙醛"
"aldehyde dehydrogenase","aldehyde dehydrogenase 醛脱氢酶"
"aldehyde oxidase","aldehyde oxidase 醛氧化酶"
"aldimine","aldimine 醛亚胺"
"alditol","alditol 糖醛"
"aldol","aldol 羟醛"
"aldolase","aldolase 醛缩酶"
"aldol condensation","aldol condensation 羟醛缩合"
"aldonic acid","aldonic acid 醛糖酸"
"aldose","aldose 醛糖"
"aldosterome","aldosterome 醛固醇"
"alduronic acid","alduronic acid 糖醛酸"
"aleurome","aleurome 糊粉"
"aleurome grain","aleurome grain 糊粉粒"
"aleurome layer","aleurome layer 糊粉层"
"aleurone grain","aleurone grain 糊粉粒"
"alfalfa mosaic virus","alfalfa mosaic virus 苜蓿花叶病毒"
"alga","alga 藻类（单）"
"algae","algae 藻类"
"algicide","algicide 杀藻剂"
"algin","algin 藻胶"
"alginate","alginate 藻酸盐"
"alginic acid","alginic acid 藻酸"
"algocyan","algocyan 藻蓝素"
"algorithm","algorithm 算法，公式"
"alicyclic amine","alicyclic amine 脂肪胺"
"alicyclic compound","alicyclic compound 脂环化合物"
"alicyclic hydrocarbon","alicyclic hydrocarbon 脂环烃"
"alignment","alignment 顺序；排列；[序列]对比"
"alimentary canal","alimentary canal 消化管"
"aliphatic","aliphatic 脂肪族的"
"aliphatic amine alkaloid","aliphatic amine alkaloid 脂（肪）族胺（类）生物碱"
"aliphatic compound","aliphatic compound 脂肪族化合物"
"aliquot","aliquot 小份，等份，等分部分"
"alizarin","alizarin 茜素"
"alkali","alkali 碱，强碱"
"alkali metal","alkali metal 碱金属"
"alkaline","alkaline 碱的，强碱的"
"alkaline amino acid","alkaline amino acid 碱性氨基酸"
"alkaline denaturation","alkaline denaturation 碱变性法"
"alkaline earth metal","alkaline earth metal 碱土金属"
"alkaline gel electrophoresis","alkaline gel electrophoresis 碱性凝胶电泳"
"alkaline hydrolysis","alkaline hydrolysis 碱水解（作用）"
"alkaline lysis","alkaline lysis 碱裂解（法）"
"alkaline phosphatase","alkaline phosphatase 碱性磷酸酶"
"alkaline protein","alkaline protein 碱性蛋白质"
"alkaline reserve","alkaline reserve 碱储备[如血液中的碳酸氢钠]"
"alkalization","alkalization 碱化"
"alkaloid","alkaloid 生物碱"
"alkane","alkane 烷"
"alkene","alkene 烯"
"alkyl","alkyl 烷基"
"alkylating agent","alkylating agent 烷化剂"
"alkylation","alkylation 烷（基）化"
"alkyne","alkyne 炔"
"allantoic acid","allantoic acid 尿囊酸"
"allantoin","allantoin 尿囊素"
"allatostatin","allatostatin 咽侧体抑制素[抑制保幼激素的分泌]"
"allatotropin","allatotropin 促咽侧体素[促进保幼激素的分泌]"
"allele","allele 等位基因"
"allele linkage analysis","allele linkage analysis 等位基因连锁反应"
"allelic complement","allelic complement 等位（基因）互补"
"allelic diversity","allelic diversity 等位（基因）多样化"
"allelic exclusion","allelic exclusion 等位（基因）排斥[一个杂合子表现其任一异型性状的现象，有时特指成熟的B细胞只产生一种抗体而其等位结构不表达]"
"allelic inactivation","allelic inactivation 等位（基因）失活"
"allelic inclusion","allelic inclusion 等位（基因）相容"
"allelic replacement","allelic replacement 等位（基因）置换"
"allelic variation","allelic variation 等位（基因）变异"
"allelism","allelism 等位性"
"allelomorph","allelomorph 等位基因"
"allelomorphism","allelomorphism 等位性"
"allelopathic substance","allelopathic substance 异柱克生物质，异种克生物质"
"allelopathy","allelopathy 异柱克生（现象），异种克生（现象）"
"allergen","allergen 变应原"
"allergic","allergic 变应性的"
"allergic disease","allergic disease 变应性疾病"
"allergy","allergy 变态反应"
"alloantibody","alloantibody 同种抗体"
"alloantigen","alloantigen 同种抗原"
"allodiploid","allodiploid 异源二倍体"
"allodiploidy","allodiploidy 异源二倍性"
"allodiplomonosome","allodiplomonosome 异源二倍单体"
"allogenic antigen","allogenic antigen 同种异型抗原，同种异体抗原"
